State,Year,Population,Violent,Murder,Rape,Robbery,assault,Vandalism,Burglary,Larceny,GTA,Rate,Deaths,Laws,ID
RI,2014,1054907,2320,26,366,530,1398,22982,4830,16317,1835,3,34,43,44
SC,2014,4829160,24038,322,2185,4018,17513,168281,37163,118173,12945,15.5,767,12,45
SD,2014,853304,2801,23,478,199,2101,16036,2817,12209,1010,10.3,89,5,46
TN,2014,6547779,39989,369,2595,7268,29757,200911,46798,141464,12649,15.1,1016,24,47
TX,2014,26979078,109711,1192,11636,31021,65862,813515,168085,577018,68412,10.7,2848,20,48
UT,2014,2944498,6464,66,1547,1313,3538,85473,11656,66487,7330,12.3,337,11,49
VA,2014,8328098,16522,350,2416,4294,9462,161934,23210,131001,7723,10.3,889,12,51
VT,2014,626767,643,10,117,72,444,9721,2092,7375,254,10.3,69,3,50
WA,2014,7063166,20185,178,2780,5641,11586,261257,55381,175317,30559,9.7,702,41,53
WI,2014,5759432,16763,159,1677,5101,9826,120535,21375,89255,9905,8.2,487,24,55
WV,2014,1848751,5850,84,594,655,4517,38282,9368,26954,1960,14.6,286,24,54
WY,2014,584304,1142,16,174,53,899,11477,1689,9185,603,16.2,93,6,56
